video_select, Lütfen bir video seçin, Please select a video
video_save_path, Lütfen videoyu kaydetmek için bir adres seçin, Please select the path you want to save the video to
video_backward, Geri, Backward
video_forward, İleri, Forward
video_stop, Bitir, Stop
show_input, Girişi Göster, Show Input
show_output, Sonucu Göster, Show Output
video_start, Başlat, Start
gpu_title, Nvidia Grafik Kartı Uyumluluğu:, Nvidia Graphic Card Compatibility
gpu, GPU uyumlu değil, GPU is not compatible
gpu_button, Nasıl Aktif Edilir, How to Activate
gpu_help1, Analiz Sırasında Grafik Kartı Nasıl Kullanılır?, How to use Graphic Card for Analysis?
gpu_help2, Nvidia CUDA Developer Tools uygulamasını bilgisayarınıza kurun., Install Nvidia CUDA Developer Tools to your computer.
gpu_help3, pip install cuda-toolkit[version] ile python çevresine kurun., Install it to your python environment with pip install cuda-toolkit[version]
gpu_help4, Her iki uygulamanında aynı versiyon numarasına sahip olduğundan emin olun., Make sure both has the same version number.
process, İşlem:, Process:
process_detection, İşlem: Araç Tespiti, Process: Vehicle Detection
process_data, İşlem: Verilerin İşlenişi, Process: Processing of Data
process_video, İşlem: Sonuç Videosunun Oluşturumu, Process: Creation of Result Video
process_completed, İşlem: Tamamlandı!, Process: Completed!
frame_counter, İncelenen kare:, Frame:
search, Arama, Search
video_length, Video süresi:, Video length:
model, Araç Tespit Modeli:, Vehicle Detection Model:
resolution, Çözünürlük Artırma Yöntemi:, Resolution Algorithm:
plate_threshold, Plaka Okuma Eşik Değeri:, Plate Reading Threshold:
plate_read, Okunulamayan plakaları gösterme, Don't show unreadable plates
plate, Plaka:, Plate:
sql, SQL kaydı tutulsun, Keep SQL records
plate_distance, Plaka Okuma Eşik Aralığı:, Plate Threshold Distance:
resize, Görüntü Büyütme Oranı ve Metodu:, Image Resize Ratio and Method:
skip, Atlama Miktarı:, Step Skip Amount:
video, Çoklu video tespiti, Multiple video detection
